time,symbol,equity
2025-10-20 17:35:00+00:00,AAPL,100000.0
2025-10-20 17:40:00+00:00,AAPL,100000.0
2025-10-20 17:45:00+00:00,AAPL,100000.0
2025-10-20 17:50:00+00:00,AAPL,100000.0
2025-10-20 17:55:00+00:00,AAPL,100000.0
2025-10-20 18:00:00+00:00,AAPL,100000.0
2025-10-20 18:05:00+00:00,AAPL,100000.0
2025-10-20 18:10:00+00:00,AAPL,100000.0
2025-10-20 18:15:00+00:00,AAPL,100000.0
2025-10-20 18:20:00+00:00,AAPL,100749.90415736607
2025-10-20 18:25:00+00:00,AAPL,100749.90415736607
2025-10-20 18:30:00+00:00,AAPL,100749.90415736607
2025-10-20 18:35:00+00:00,AAPL,100249.95397077288
2025-10-20 18:40:00+00:00,AAPL,100249.95397077288
2025-10-20 18:45:00+00:00,AAPL,100249.95397077288
2025-10-20 18:50:00+00:00,AAPL,99750.26291983465
2025-10-20 18:55:00+00:00,AAPL,99750.26291983465
2025-10-20 19:00:00+00:00,AAPL,99750.26291983465
2025-10-20 19:05:00+00:00,AAPL,99750.26291983465
2025-10-20 19:10:00+00:00,AAPL,100499.95692443846
2025-10-20 19:15:00+00:00,AAPL,100499.95692443846
2025-10-20 19:20:00+00:00,AAPL,100499.95692443846
2025-10-20 19:25:00+00:00,AAPL,100499.95692443846
2025-10-20 19:30:00+00:00,AAPL,100499.95692443846
2025-10-20 19:35:00+00:00,AAPL,100499.95692443846
2025-10-20 19:40:00+00:00,AAPL,100499.95692443846
2025-10-20 19:45:00+00:00,AAPL,100499.95692443846
2025-10-20 19:50:00+00:00,AAPL,100499.95692443846
2025-10-20 19:55:00+00:00,AAPL,100000.27023751395
2025-10-21 13:30:00+00:00,AAPL,100000.27023751395
2025-10-21 13:35:00+00:00,AAPL,100000.27023751395
2025-10-21 13:40:00+00:00,AAPL,100000.27023751395
2025-10-21 13:45:00+00:00,AAPL,99500.61272103446
2025-10-21 13:50:00+00:00,AAPL,99500.61272103446
2025-10-21 13:55:00+00:00,AAPL,100249.67626735143
2025-10-21 14:00:00+00:00,AAPL,100249.67626735143
2025-10-21 14:05:00+00:00,AAPL,100249.67626735143
2025-10-21 14:10:00+00:00,AAPL,100249.67626735143
2025-10-21 14:15:00+00:00,AAPL,100249.67626735143
2025-10-21 14:20:00+00:00,AAPL,100249.67626735143
2025-10-21 14:25:00+00:00,AAPL,100249.67626735143
2025-10-21 14:30:00+00:00,AAPL,100249.67626735143
2025-10-21 14:35:00+00:00,AAPL,100249.67626735143
2025-10-21 14:40:00+00:00,AAPL,100249.67626735143
2025-10-21 14:45:00+00:00,AAPL,99749.786882673
2025-10-21 14:50:00+00:00,AAPL,99749.786882673
2025-10-21 14:55:00+00:00,AAPL,99749.786882673
2025-10-21 15:00:00+00:00,AAPL,99749.786882673
2025-10-21 15:05:00+00:00,AAPL,99749.786882673
2025-10-21 15:10:00+00:00,AAPL,99749.786882673
2025-10-21 15:15:00+00:00,AAPL,99749.786882673
2025-10-21 15:20:00+00:00,AAPL,99749.786882673
2025-10-21 15:25:00+00:00,AAPL,99749.786882673
2025-10-21 15:30:00+00:00,AAPL,99749.786882673
2025-10-21 15:35:00+00:00,AAPL,99749.786882673
2025-10-21 15:40:00+00:00,AAPL,99749.786882673
2025-10-21 15:45:00+00:00,AAPL,99749.786882673
2025-10-21 15:50:00+00:00,AAPL,99749.786882673
2025-10-21 15:55:00+00:00,AAPL,99749.786882673
2025-10-21 16:00:00+00:00,AAPL,99749.786882673
2025-10-21 16:05:00+00:00,AAPL,99749.786882673
2025-10-21 16:10:00+00:00,AAPL,99250.29995945524
2025-10-21 16:15:00+00:00,AAPL,99250.29995945524
2025-10-21 16:20:00+00:00,AAPL,99250.29995945524
2025-10-21 16:25:00+00:00,AAPL,99250.29995945524
2025-10-21 16:30:00+00:00,AAPL,98750.3374154227
2025-10-21 16:35:00+00:00,AAPL,98750.3374154227
2025-10-21 16:40:00+00:00,AAPL,98750.3374154227
2025-10-21 16:45:00+00:00,AAPL,98750.3374154227
2025-10-21 16:50:00+00:00,AAPL,98750.3374154227
2025-10-21 16:55:00+00:00,AAPL,98750.3374154227
2025-10-21 17:00:00+00:00,AAPL,98750.3374154227
2025-10-21 17:05:00+00:00,AAPL,98750.3374154227
2025-10-21 17:10:00+00:00,AAPL,98750.3374154227
2025-10-21 17:15:00+00:00,AAPL,98750.3374154227
2025-10-21 17:20:00+00:00,AAPL,98750.3374154227
2025-10-21 17:25:00+00:00,AAPL,98750.3374154227
2025-10-21 17:30:00+00:00,AAPL,98750.3374154227
2025-10-21 17:35:00+00:00,AAPL,98750.3374154227
2025-10-21 17:40:00+00:00,AAPL,98750.3374154227
2025-10-21 17:45:00+00:00,AAPL,98750.3374154227
2025-10-21 17:50:00+00:00,AAPL,98750.3374154227
2025-10-21 17:55:00+00:00,AAPL,98750.3374154227
2025-10-21 18:00:00+00:00,AAPL,98750.3374154227
2025-10-21 18:05:00+00:00,AAPL,98750.3374154227
2025-10-21 18:10:00+00:00,AAPL,98750.3374154227
2025-10-21 18:15:00+00:00,AAPL,98750.3374154227
2025-10-21 18:20:00+00:00,AAPL,98750.3374154227
2025-10-21 18:25:00+00:00,AAPL,98250.51683044432
2025-10-21 18:30:00+00:00,AAPL,98250.51683044432
2025-10-21 18:35:00+00:00,AAPL,98250.51683044432
2025-10-21 18:40:00+00:00,AAPL,98250.51683044432
2025-10-21 18:45:00+00:00,AAPL,98250.51683044432
2025-10-21 18:50:00+00:00,AAPL,98250.51683044432
2025-10-21 18:55:00+00:00,AAPL,98250.51683044432
2025-10-21 19:00:00+00:00,AAPL,98250.51683044432
2025-10-21 19:05:00+00:00,AAPL,98250.51683044432
2025-10-21 19:10:00+00:00,AAPL,98250.51683044432
2025-10-21 19:15:00+00:00,AAPL,98250.51683044432
2025-10-21 19:20:00+00:00,AAPL,98250.51683044432
2025-10-21 19:25:00+00:00,AAPL,98250.51683044432
2025-10-21 19:30:00+00:00,AAPL,97750.56293814523
2025-10-21 19:35:00+00:00,AAPL,97750.56293814523
2025-10-21 19:40:00+00:00,AAPL,97750.56293814523
2025-10-21 19:45:00+00:00,AAPL,97750.56293814523
2025-10-21 19:50:00+00:00,AAPL,97750.56293814523
2025-10-21 19:55:00+00:00,AAPL,97750.56293814523
2025-10-22 13:30:00+00:00,AAPL,97750.56293814523
2025-10-22 13:35:00+00:00,AAPL,97750.56293814523
2025-10-22 13:40:00+00:00,AAPL,97750.56293814523
2025-10-22 13:45:00+00:00,AAPL,97750.56293814523
2025-10-22 13:50:00+00:00,AAPL,97750.56293814523
2025-10-22 13:55:00+00:00,AAPL,97750.56293814523
2025-10-22 14:00:00+00:00,AAPL,97750.56293814523
2025-10-22 14:05:00+00:00,AAPL,97750.56293814523
2025-10-22 14:10:00+00:00,AAPL,97750.56293814523
2025-10-22 14:15:00+00:00,AAPL,97750.56293814523
2025-10-22 14:20:00+00:00,AAPL,97750.56293814523
2025-10-22 14:25:00+00:00,AAPL,97750.56293814523
2025-10-22 14:30:00+00:00,AAPL,97750.56293814523
2025-10-22 14:35:00+00:00,AAPL,97750.56293814523
2025-10-22 14:40:00+00:00,AAPL,97750.56293814523
2025-10-22 14:45:00+00:00,AAPL,97750.56293814523
2025-10-22 14:50:00+00:00,AAPL,97750.56293814523
2025-10-22 14:55:00+00:00,AAPL,97750.56293814523
2025-10-22 15:00:00+00:00,AAPL,97750.56293814523
2025-10-22 15:05:00+00:00,AAPL,97750.56293814523
2025-10-22 15:10:00+00:00,AAPL,97750.56293814523
2025-10-22 15:15:00+00:00,AAPL,97750.56293814523
2025-10-22 15:20:00+00:00,AAPL,97750.56293814523
2025-10-22 15:25:00+00:00,AAPL,97750.56293814523
2025-10-22 15:30:00+00:00,AAPL,97750.56293814523
2025-10-22 15:35:00+00:00,AAPL,97750.56293814523
2025-10-22 15:40:00+00:00,AAPL,97750.56293814523
2025-10-22 15:45:00+00:00,AAPL,97750.56293814523
2025-10-22 15:50:00+00:00,AAPL,97750.56293814523
2025-10-22 15:55:00+00:00,AAPL,97750.56293814523
2025-10-22 16:00:00+00:00,AAPL,97750.56293814523
2025-10-22 16:05:00+00:00,AAPL,97750.56293814523
2025-10-22 16:10:00+00:00,AAPL,97750.56293814523
2025-10-22 16:15:00+00:00,AAPL,97750.56293814523
2025-10-22 16:20:00+00:00,AAPL,97750.56293814523
2025-10-22 16:25:00+00:00,AAPL,97750.56293814523
2025-10-22 16:30:00+00:00,AAPL,97750.56293814523
2025-10-22 16:35:00+00:00,AAPL,97750.56293814523
2025-10-22 16:40:00+00:00,AAPL,97750.56293814523
2025-10-22 16:45:00+00:00,AAPL,97750.56293814523
2025-10-22 16:50:00+00:00,AAPL,97750.56293814523
2025-10-22 16:55:00+00:00,AAPL,97750.56293814523
2025-10-22 17:00:00+00:00,AAPL,97750.56293814523
2025-10-22 17:05:00+00:00,AAPL,97750.56293814523
2025-10-22 17:10:00+00:00,AAPL,97750.56293814523
2025-10-22 17:15:00+00:00,AAPL,97750.56293814523
2025-10-22 17:20:00+00:00,AAPL,97750.56293814523
2025-10-22 17:25:00+00:00,AAPL,97750.56293814523
2025-10-22 17:30:00+00:00,AAPL,97750.56293814523
2025-10-22 17:35:00+00:00,AAPL,97750.56293814523
2025-10-22 17:40:00+00:00,AAPL,97750.56293814523
2025-10-22 17:45:00+00:00,AAPL,97750.56293814523
2025-10-22 17:50:00+00:00,AAPL,97750.56293814523
2025-10-22 17:55:00+00:00,AAPL,97750.56293814523
2025-10-22 18:00:00+00:00,AAPL,97750.56293814523
2025-10-22 18:05:00+00:00,AAPL,97750.56293814523
2025-10-22 18:10:00+00:00,AAPL,97750.56293814523
2025-10-22 18:15:00+00:00,AAPL,97750.56293814523
2025-10-22 18:20:00+00:00,AAPL,97750.56293814523
2025-10-22 18:25:00+00:00,AAPL,97750.56293814523
2025-10-22 18:30:00+00:00,AAPL,97750.56293814523
2025-10-22 18:35:00+00:00,AAPL,97750.56293814523
2025-10-22 18:40:00+00:00,AAPL,97750.56293814523
2025-10-22 18:45:00+00:00,AAPL,97750.56293814523
2025-10-22 18:50:00+00:00,AAPL,97750.56293814523
2025-10-22 18:55:00+00:00,AAPL,97750.56293814523
2025-10-22 19:00:00+00:00,AAPL,97750.56293814523
2025-10-22 19:05:00+00:00,AAPL,97750.56293814523
2025-10-22 19:10:00+00:00,AAPL,97750.56293814523
2025-10-22 19:15:00+00:00,AAPL,97750.56293814523
2025-10-22 19:20:00+00:00,AAPL,97750.56293814523
