time,open,high,low,close,volume
2025-10-01 15:20:00+00:00,665.835,666.165,665.79,666.165,13553
2025-10-01 15:25:00+00:00,666.12,666.42,666.12,666.285,7223
2025-10-01 15:30:00+00:00,666.35,666.7,666.35,666.63,6089
2025-10-01 15:35:00+00:00,666.57,666.97,666.49,666.87,23471
2025-10-01 15:40:00+00:00,666.89,667.01,666.755,666.97,27121
2025-10-01 15:45:00+00:00,666.95,667.16,666.89,666.97,15789
2025-10-01 15:50:00+00:00,667.05,667.12,666.99,667.035,19557
2025-10-01 15:55:00+00:00,667.03,667.12,666.97,666.97,22886
2025-10-01 16:00:00+00:00,667.05,667.14,666.89,666.89,11175
2025-10-01 16:05:00+00:00,666.83,667.06,666.83,667.045,7960
2025-10-01 16:10:00+00:00,667.05,667.16,666.98,667.01,8426
2025-10-01 16:15:00+00:00,667.0,667.13,666.79,666.79,11292
2025-10-01 16:20:00+00:00,666.8,666.805,666.615,666.71,6967
2025-10-01 16:25:00+00:00,666.72,666.96,666.71,666.89,6999
2025-10-01 16:30:00+00:00,666.93,667.02,666.895,667.02,9691
2025-10-01 16:35:00+00:00,666.95,667.035,666.86,666.86,8054
2025-10-01 16:40:00+00:00,666.92,666.92,666.65,666.65,3610
2025-10-01 16:45:00+00:00,666.64,666.82,666.57,666.69,11317
2025-10-01 16:50:00+00:00,666.71,666.76,666.545,666.55,8489
2025-10-01 16:55:00+00:00,666.56,666.945,666.45,666.91,13618
2025-10-01 17:00:00+00:00,666.96,667.27,666.82,667.265,8214
2025-10-01 17:05:00+00:00,667.33,667.52,667.28,667.28,12264
2025-10-01 17:10:00+00:00,667.265,667.5,667.18,667.36,9925
2025-10-01 17:15:00+00:00,667.38,667.86,667.375,667.69,11098
2025-10-01 17:20:00+00:00,667.73,667.81,667.64,667.805,11145
2025-10-01 17:25:00+00:00,667.85,668.06,667.785,667.945,8530
2025-10-01 17:30:00+00:00,667.99,668.03,667.735,667.865,17201
2025-10-01 17:35:00+00:00,667.89,667.905,667.785,667.82,12512
2025-10-01 17:40:00+00:00,667.89,667.92,667.63,667.795,15113
2025-10-01 17:45:00+00:00,667.78,667.87,667.62,667.815,9997
2025-10-01 17:50:00+00:00,667.805,667.895,667.76,667.77,6330
2025-10-01 17:55:00+00:00,667.81,667.97,667.81,667.955,10071
2025-10-01 18:00:00+00:00,667.965,668.41,667.965,668.2,15115
2025-10-01 18:05:00+00:00,668.23,668.48,668.23,668.48,14661
2025-10-01 18:10:00+00:00,668.435,668.7,668.355,668.61,10304
2025-10-01 18:15:00+00:00,668.61,668.79,668.61,668.77,12110
2025-10-01 18:20:00+00:00,668.79,668.8,668.53,668.74,10370
2025-10-01 18:25:00+00:00,668.74,668.93,668.72,668.72,10687
2025-10-01 18:30:00+00:00,668.76,668.935,668.74,668.925,14399
2025-10-01 18:35:00+00:00,668.95,669.05,668.865,669.02,14615
2025-10-01 18:40:00+00:00,669.01,669.24,668.97,669.15,41986
2025-10-01 18:45:00+00:00,669.14,669.33,669.11,669.29,16166
2025-10-01 18:50:00+00:00,669.28,669.35,669.14,669.165,8589
2025-10-01 18:55:00+00:00,669.14,669.19,669.03,669.11,10972
2025-10-01 19:00:00+00:00,669.11,669.35,669.1,669.35,6918
2025-10-01 19:05:00+00:00,669.345,669.37,669.15,669.18,11451
2025-10-01 19:10:00+00:00,669.16,669.2,668.88,669.1,14393
2025-10-01 19:15:00+00:00,669.12,669.145,668.86,668.865,17135
2025-10-01 19:20:00+00:00,668.89,668.94,668.76,668.79,19084
2025-10-01 19:25:00+00:00,668.785,669.13,668.73,669.125,14647
2025-10-01 19:30:00+00:00,669.075,669.26,668.96,669.215,17129
2025-10-01 19:35:00+00:00,669.19,669.19,669.0,669.05,19066
2025-10-01 19:40:00+00:00,669.03,669.2,668.77,668.77,39093
2025-10-01 19:45:00+00:00,668.78,669.13,668.7,669.015,40132
2025-10-01 19:50:00+00:00,669.06,669.12,668.7,668.705,65155
2025-10-01 19:55:00+00:00,668.74,668.97,668.535,668.535,97100
2025-10-01 20:00:00+00:00,668.33,668.38,668.24,668.3,28799
2025-10-01 20:05:00+00:00,668.13,668.27,668.05,668.1,13890
2025-10-01 20:10:00+00:00,668.05,668.05,668.01,668.02,3220
2025-10-01 20:15:00+00:00,668.1,668.12,668.06,668.06,3379
2025-10-01 20:20:00+00:00,668.1,668.1,668.02,668.02,6956
2025-10-01 20:25:00+00:00,668.02,668.02,668.02,668.02,1500
2025-10-01 20:30:00+00:00,668.0,668.0,668.0,668.0,100
2025-10-01 20:35:00+00:00,668.28,668.28,668.28,668.28,922
2025-10-01 20:40:00+00:00,668.11,668.11,668.11,668.11,300
2025-10-02 12:45:00+00:00,670.34,670.34,670.34,670.34,100
2025-10-02 13:30:00+00:00,670.455,670.55,669.88,670.25,40176
2025-10-02 13:35:00+00:00,670.22,670.42,669.78,669.785,24362
2025-10-02 13:40:00+00:00,669.79,669.79,668.91,669.08,36104
2025-10-02 13:45:00+00:00,668.93,669.61,668.92,669.07,25748
2025-10-02 13:50:00+00:00,669.11,669.615,668.76,669.52,30246
2025-10-02 13:55:00+00:00,669.525,669.53,668.83,669.37,22424
2025-10-02 14:00:00+00:00,669.23,669.41,668.99,669.395,31772
2025-10-02 14:05:00+00:00,669.37,669.51,668.97,668.97,22729
2025-10-02 14:10:00+00:00,668.96,669.0,668.48,668.65,19069
2025-10-02 14:15:00+00:00,668.63,668.86,668.48,668.51,18644
2025-10-02 14:20:00+00:00,668.5,668.67,668.295,668.55,21998
2025-10-02 14:25:00+00:00,668.565,668.99,668.48,668.69,28334
2025-10-02 14:30:00+00:00,668.83,669.01,668.265,668.44,12371
2025-10-02 14:35:00+00:00,668.41,668.9,668.39,668.9,10213
2025-10-02 14:40:00+00:00,668.87,668.87,668.29,668.29,10275
